2021-12-15 22:12:529 INFO  HomePage :102 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (78264be5d3a0e885cfd19c4a85d30336)] -> xpath: //input[@id='salarymin']]
2021-12-15 22:12:679 INFO  HomePage :111 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (78264be5d3a0e885cfd19c4a85d30336)] -> xpath: //input[@id='salarymax']]
2021-12-15 22:12:772 INFO  HomePage :118 - Select Salary type : [[ChromeDriver: chrome on WINDOWS (78264be5d3a0e885cfd19c4a85d30336)] -> xpath: //select[@id='salarytype']]
2021-12-15 22:12:897 INFO  HomePage :125 - Select Job type : [[ChromeDriver: chrome on WINDOWS (78264be5d3a0e885cfd19c4a85d30336)] -> xpath: //select[@id='tempperm']]
2021-12-15 22:12:180 INFO  HomePage :132 - Click on 'ADD TO CART' Button[[ChromeDriver: chrome on WINDOWS (78264be5d3a0e885cfd19c4a85d30336)] -> xpath: //input[contains(@id,'hp-search-btn')]]
2021-12-15 22:12:870 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-15 22:12:42 INFO  HomePage :95 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (29548836ae572d1d244ec5ff86cea9de)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-15 22:12:694 INFO  HomePage :72 - Enter job title [[ChromeDriver: chrome on WINDOWS (29548836ae572d1d244ec5ff86cea9de)] -> xpath: //input[@id='keywords']]
2021-12-15 22:12:927 INFO  HomePage :79 - Enter job Location [[ChromeDriver: chrome on WINDOWS (29548836ae572d1d244ec5ff86cea9de)] -> xpath: //input[@id='location']]
2021-12-15 22:12:63 INFO  HomePage :86 - select Distance : [[ChromeDriver: chrome on WINDOWS (29548836ae572d1d244ec5ff86cea9de)] -> xpath: //select[@id='distance']]
2021-12-15 22:12:242 INFO  HomePage :102 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (29548836ae572d1d244ec5ff86cea9de)] -> xpath: //input[@id='salarymin']]
2021-12-15 22:12:349 INFO  HomePage :111 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (29548836ae572d1d244ec5ff86cea9de)] -> xpath: //input[@id='salarymax']]
2021-12-15 22:12:611 INFO  HomePage :118 - Select Salary type : [[ChromeDriver: chrome on WINDOWS (29548836ae572d1d244ec5ff86cea9de)] -> xpath: //select[@id='salarytype']]
2021-12-15 22:12:805 INFO  HomePage :125 - Select Job type : [[ChromeDriver: chrome on WINDOWS (29548836ae572d1d244ec5ff86cea9de)] -> xpath: //select[@id='tempperm']]
2021-12-15 22:12:989 INFO  HomePage :132 - Click on 'ADD TO CART' Button[[ChromeDriver: chrome on WINDOWS (29548836ae572d1d244ec5ff86cea9de)] -> xpath: //input[contains(@id,'hp-search-btn')]]
2021-12-15 22:12:543 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-15 22:12:625 INFO  HomePage :95 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (247c3810a1ccd3afaf0d7031d5eab503)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-15 22:12:324 INFO  HomePage :72 - Enter job title [[ChromeDriver: chrome on WINDOWS (247c3810a1ccd3afaf0d7031d5eab503)] -> xpath: //input[@id='keywords']]
2021-12-15 22:12:463 INFO  HomePage :79 - Enter job Location [[ChromeDriver: chrome on WINDOWS (247c3810a1ccd3afaf0d7031d5eab503)] -> xpath: //input[@id='location']]
2021-12-15 22:12:780 INFO  HomePage :86 - select Distance : [[ChromeDriver: chrome on WINDOWS (247c3810a1ccd3afaf0d7031d5eab503)] -> xpath: //select[@id='distance']]
2021-12-15 22:12:960 INFO  HomePage :102 - Click on Search Option Button : [[ChromeDriver: chrome on WINDOWS (247c3810a1ccd3afaf0d7031d5eab503)] -> xpath: //input[@id='salarymin']]
